name,joints,link_length,prev_axe,dof,mu,time,Z,LCI
roll_z_0_1pitch_y_0_1pitch_x_0_1roll_x_0_4pitch_y_0_1roll_x_0_4,roll_pitch__pitch__roll__pitch__roll_,0.1_0.1__0.1__0.4__0.1__0.4_,z_y__x__x__y__x_,6,0.632,1.76,3.938,0.063
roll_z_0_1pitch_y_0_4pitch_z_0_1pitch_z_0_7roll_z_0_4pitch_y_0_1,roll_pitch__pitch__pitch__roll__pitch_,0.1_0.4__0.1__0.7__0.4__0.1_,z_y__z__z__z__y_,6,0.687,2.72,3.772,0.077
roll_z_0_1pitch_y_0_1pitch_x_0_7roll_x_0_7pitch_y_0_7pitch_x_0_1,roll_pitch__pitch__roll__pitch__pitch_,0.1_0.1__0.7__0.7__0.7__0.1_,z_y__x__x__y__x_,6,0.359,3.73,4.599,0.041
roll_z_0_1pitch_y_0_7roll_x_0_7roll_y_0_1roll_y_0_4pitch_y_0_1,roll_pitch__roll__roll__roll__pitch_,0.1_0.7__0.7__0.1__0.4__0.1_,z_y__x__y__y__y_,6,0.618,2.42,3.891,0.066
roll_z_0_1pitch_y_0_4roll_z_0_4roll_y_0_4roll_y_0_4pitch_y_0_1,roll_pitch__roll__roll__roll__pitch_,0.1_0.4__0.4__0.4__0.4__0.1_,z_y__z__y__y__y_,6,0.637,2.11,4.032,0.061
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_z_0_4pitch_z_0_4roll_y_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.4__0.4__0.1_,z_y__y__z__z__y_,6,0.584,2.36,4.146,0.052
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_1roll_y_0_4pitch_y_0_7,roll_roll__roll__pitch__roll__pitch_,0.1_0.7__0.1__0.1__0.4__0.7_,z_y__y__y__y__y_,6,0.631,1.86,3.98,0.065
roll_z_0_1pitch_y_0_7pitch_x_0_4pitch_z_0_1roll_y_0_7roll_y_0_4,roll_pitch__pitch__pitch__roll__roll_,0.1_0.7__0.4__0.1__0.7__0.4_,z_y__x__z__y__y_,6,0.578,2.31,4.161,0.05
roll_z_0_1pitch_y_0_7pitch_x_0_4roll_x_0_7pitch_y_0_1pris_x_0_7,roll_pitch__pitch__roll__pitch__pris_,0.1_0.7__0.4__0.7__0.1__0.7_,z_y__x__x__y__x_,6,0.593,1.98,4.111,0.054
roll_z_0_1pitch_y_0_4pitch_y_0_7pitch_y_0_4pitch_x_0_4roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.7__0.4__0.4__0.4_,z_y__y__y__x__z_,6,0.575,2.16,4.226,0.047
