'"{''#long_link''',long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,Total,simulated,left
1,0.7,6,2,4,0, 2}",1947,104,1843
2,0.7,6,2,4,0, 3.1}",590,35,555
4,0.7,6,0,2,0, 3.6}",280,280,0
4,0.7,5,0,2,0.25, 3.1}",152,152,0
0,0.4,5,0,0,0, 1.5}",10,10,0
1,0.7,5,2,2,0.25, 2}",640,544,96
1,0.7,5,0,1,0, 2}",160,160,0
1,0.7,5,0,1,0.67, 2}",3072,3072,0
2,0.7,5,0,1,1.5, 2.6}",396,396,0
1,0.7,4,0,0,0, 2}",3,3,0
0,0.4,6,2,3,0.2, 1.5}",3686,380,3306
2,0.7,5,3,4,0, 2.6}",12,12,0
1,0.7,6,2,4,0.2, 1.5}",2508,121,2387
4,0.7,6,4,4,0.2, 3.6}",40,40,0
3,0.7,5,3,3,0, 2.6}",32,32,0
3,0.7,6,2,4,0, 2.6}",590,34,556
3,0.7,6,3,5,0, 3.1}",240,239,1
0,0.4,5,2,3,0, 1.5}",140,140,0
1,0.7,6,0,3,0.5, 1.5}",14080,684,13396
1,0.7,4,2,2,0, 2}",12,12,0
1,0.7,6,0,2,1, 1.5}",11880,581,11299
3,0.7,6,0,2,0.2, 3.1}",15240,725,14515
4,0.7,6,0,2,0.5, 3.6}",5710,272,5438
2,0.7,5,0,3,0.25, 2.6}",480,480,0
0,0.4,5,0,0,0, 2}",1,1,0
4,0.7,5,0,0,1.5, 3.1}",38,38,0
3,0.7,6,0,3,0.2, 3.1}",18960,910,18050
1,0.7,5,2,4,0, 1.5}",128,128,0
3,0.7,4,0,0,0.33, 2.6}",10,10,0
0,0.4,5,0,2,0.67, 2}",138,138,0
1,0.7,6,0,0,0.2, 2}",594,32,562
4,0.7,6,3,4,0.2, 3.6}",130,130,0
2,0.7,6,0,0,1, 2.6}",10140,505,9635
2,0.7,6,5,5,0, 2.6}",60,60,0
0,0.4,5,0,3,0.25, 1.5}",800,800,0
0,0.4,6,0,5,0, 2}",264,264,0
3,0.7,5,0,1,1.5, 2.6}",528,528,0
1,0.7,6,2,2,0.2, 1.5}",1892,80,1812
3,0.7,5,0,0,0.25, 2.6}",112,112,0
0,0.4,4,0,2,0.33, 1.5}",24,24,0
4,0.7,6,0,2,0.5, 3.1}",5710,266,5444
2,0.7,6,2,4,0, 2.6}",3540,182,3358
1,0.7,6,2,4,0.2, 2.6}",2850,134,2716
5,0.7,6,0,4,0, 3.6}",112,112,0
3,0.7,6,0,1,0, 2.6}",130,130,0
3,0.7,6,3,3,0, 2.6}",70,70,0
2,0.7,6,0,4,0, 2.6}",6720,330,6390
1,0.7,5,0,0,0, 1.5}",16,16,0
0,0.4,4,0,1,1, 1.5}",27,27,0
5,0.7,6,2,3,0.5, 3.6}",144,144,0
5,0.7,6,0,2,1, 3.6}",540,37,503
0,0.4,5,0,2,0, 2}",29,29,0
1,0.7,6,3,3,0.2, 2.6}",950,44,906
1,0.7,6,0,1,0, 2.6}",325,325,0
4,0.7,6,2,3,0.5, 3.6}",720,34,686
0,0.4,6,2,3,0.5, 1.5}",2736,271,2465
1,0.7,5,0,0,0.25, 2}",224,224,0
2,0.7,5,0,2,0.25, 2}",2736,2736,0
3,0.7,6,0,0,1, 2.6}",1690,74,1616
1,0.7,4,0,1,0, 2}",21,21,0
1,0.7,4,2,2,0, 1.5}",24,24,0
1,0.7,6,0,2,0, 2.6}",1400,66,1334
4,0.7,6,2,2,1, 3.6}",225,225,0
2,0.7,5,3,4,0, 2}",36,36,0
1,0.7,5,0,3,0, 1.5}",576,576,0
0,0.4,6,0,4,0.2, 1.5}",5396,368,5028
0,0.4,5,0,1,0.25, 2}",93,93,0
3,0.7,6,0,0,1, 3.1}",5070,270,4800
0,0.4,5,2,2,0.67, 2}",24,20,4
1,0.7,6,0,0,1, 2.6}",4225,209,4016
0,0.4,6,0,2,0.2, 2.6}",508,96,412
0,0.4,6,0,1,0.2, 2.6}",172,172,0
2,0.7,6,4,4,0.2, 2.6}",480,480,0
0,0.4,6,0,2,1, 2.6}",540,103,437
1,0.7,6,0,2,0.5, 1.5}",25124,1215,23909
2,0.7,6,3,4,0, 2}",140,140,0
0,0.4,6,3,4,0, 2.6}",14,14,0
4,0.7,5,3,3,0, 3.1}",4,4,0
0,0.4,6,2,3,0, 2.6}",44,44,0
2,0.7,5,0,0,1.5, 2.6}",228,228,0
