#long_link,long_link,dof,par_axes_y,pitch_joint,p/r_ratio,acc_length,total,simulated,left,1702863,126348,1576515
3,0.7,6,3,5,0,3.1}",240,32,208,,,
0,0.4,5,2,3,0,1.5}",140,134,6,,,
1,0.7,6,0,3,0.5,1.5}",14080,684,13396,,,
1,0.7,4,2,2,0,2}",12,12,0,,,
1,0.7,6,0,2,1,1.5}",11880,581,11299,,,
3,0.7,6,0,2,0.2,3.1}",15240,725,14515,,,
4,0.7,6,0,2,0.5,3.6}",5710,272,5438,,,
2,0.7,5,0,3,0.25,2.6}",480,78,402,,,
0,0.4,5,0,0,0,2}",1,1,0,,,
4,0.7,5,0,0,1.5,3.1}",38,29,9,,,
3,0.7,6,0,3,0.2,3.1}",18960,910,18050,,,
1,0.7,5,2,4,0,1.5}",128,35,93,,,
3,0.7,4,0,0,0.33,2.6}",10,10,0,,,
0,0.4,5,0,2,0.67,2}",138,138,0,,,
1,0.7,6,0,0,0.2,2}",594,32,562,,,
4,0.7,6,3,4,0.2,3.6}",130,27,103,,,
2,0.7,6,0,0,1,2.6}",10140,505,9635,,,
2,0.7,6,5,5,0,2.6}",60,28,32,,,
0,0.4,5,0,3,0.25,1.5}",800,799,1,,,
0,0.4,6,0,5,0,2}",264,33,231,,,
3,0.7,5,0,1,1.5,2.6}",528,89,439,,,
1,0.7,6,2,2,0.2,1.5}",1892,80,1812,,,
3,0.7,5,0,0,0.25,2.6}",112,34,78,,,
0,0.4,4,0,2,0.33,1.5}",24,24,0,,,
4,0.7,6,0,2,0.5,3.1}",5710,266,5444,,,
2,0.7,6,2,4,0,2.6}",3540,182,3358,,,
1,0.7,6,2,4,0.2,2.6}",2850,134,2716,,,
5,0.7,6,0,4,0,3.6}",112,26,86,,,
3,0.7,6,0,1,0,2.6}",130,30,100,,,
3,0.7,6,3,3,0,2.6}",70,25,45,,,
2,0.7,6,0,4,0,2.6}",6720,330,6390,,,
1,0.7,5,0,0,0,1.5}",16,16,0,,,
0,0.4,4,0,1,1,1.5}",27,27,0,,,
5,0.7,6,2,3,0.5,3.6}",144,29,115,,,
5,0.7,6,0,2,1,3.6}",540,37,503,,,
0,0.4,5,0,2,0,2}",29,29,0,,,
1,0.7,6,3,3,0.2,2.6}",950,44,906,,,
1,0.7,6,0,1,0,2.6}",325,31,294,,,
4,0.7,6,2,3,0.5,3.6}",720,34,686,,,
0,0.4,6,2,3,0.5,1.5}",2736,271,2465,,,
1,0.7,5,0,0,0.25,2}",224,48,176,,,
2,0.7,5,0,2,0.25,2}",2736,404,2332,,,
3,0.7,6,0,0,1,2.6}",1690,74,1616,,,
1,0.7,4,0,1,0,2}",21,21,0,,,
1,0.7,4,2,2,0,1.5}",24,24,0,,,
1,0.7,6,0,2,0,2.6}",1400,66,1334,,,
4,0.7,6,2,2,1,3.6}",225,29,196,,,
2,0.7,5,3,4,0,2}",36,29,7,,,
1,0.7,5,0,3,0,1.5}",576,109,467,,,
0,0.4,6,0,4,0.2,1.5}",5396,368,5028,,,
0,0.4,5,0,1,0.25,2}",93,93,0,,,
3,0.7,6,0,0,1,3.1}",5070,270,4800,,,
0,0.4,5,2,2,0.67,2}",24,20,4,,,
1,0.7,6,0,0,1,2.6}",4225,209,4016,,,
0,0.4,6,0,2,0.2,2.6}",508,96,412,,,
0,0.4,6,0,1,0.2,2.6}",172,53,119,,,
2,0.7,6,4,4,0.2,2.6}",480,34,446,,,
0,0.4,6,0,2,1,2.6}",540,103,437,,,
1,0.7,6,0,2,0.5,1.5}",25124,1215,23909,,,
2,0.7,6,3,4,0,2}",140,26,114,,,
0,0.4,6,3,4,0,2.6}",14,14,0,,,
4,0.7,5,3,3,0,3.1}",4,4,0,,,
0,0.4,6,2,3,0,2.6}",44,26,18,,,
2,0.7,5,0,0,1.5,2.6}",228,35,193,,,
2,0.7,6,4,4,0.2,3.1}",80,27,53,,,
1,0.7,6,3,4,0,1.5}",308,35,273,,,
3,0.7,5,0,2,0.67,2.6}",1104,163,941,,,
2,0.7,6,0,0,1,2}",1690,84,1606,,,
5,0.7,6,0,1,0.2,3.6}",172,29,143,,,
4,0.7,6,2,4,0,3.1}",295,33,262,,,
3,0.7,6,0,1,0,3.1}",390,35,355,,,
1,0.7,5,3,3,0,1.5}",64,31,33,,,
3,0.7,6,3,3,0.2,3.1}",1140,57,1083,,,
5,0.7,6,0,3,0.2,3.6}",632,33,599,,,
2,0.7,6,2,5,0,2}",260,31,229,,,
1,0.7,6,2,3,0,2.6}",1100,52,1048,,,
3,0.7,6,0,2,0.5,3.1}",34260,1594,32666,,,
4,0.7,6,2,3,0,3.6}",220,31,189,,,
0,0.4,6,2,4,0,1.5}",1121,89,1032,,,
5,0.7,6,3,4,0.2,3.6}",26,25,1,,,
0,0.4,4,0,0,3,1.5}",3,3,0,,,
0,0.4,6,0,3,0,1.5}",2109,274,1835,,,
3,0.7,6,2,3,0.5,2.6}",1440,68,1372,,,
0,0.4,6,4,4,0.2,1.5}",152,30,122,,,
4,0.7,6,0,1,0.5,3.1}",3185,168,3017,,,
4,0.7,6,2,4,0,3.6}",295,31,264,,,
1,0.7,5,2,3,0.25,2}",448,60,388,,,
2,0.7,6,2,3,0.2,2}",1940,87,1853,,,
2,0.7,5,0,0,0.25,2}",252,55,197,,,
2,0.7,6,3,3,0.5,3.1}",260,30,230,,,
4,0.7,6,2,2,0.5,3.1}",770,42,728,,,
1,0.7,5,0,0,0.67,1.5}",816,113,703,,,
5,0.7,6,0,0,0,3.6}",1,1,0,,,
1,0.7,4,2,2,0.33,2}",18,18,0,,,
3,0.7,5,0,1,0.67,2.6}",1536,261,1275,,,
2,0.7,5,0,3,0.25,2}",1440,197,1243,,,
1,0.7,5,0,4,0,1.5}",256,58,198,,,
4,0.7,6,0,1,1,3.6}",3240,156,3084,,,
5,0.7,6,2,4,0,3.6}",59,25,34,,,
5,0.7,6,3,3,0.5,3.6}",26,25,1,,,
5,0.7,6,0,5,0,3.6}",44,25,19,,,
3,0.7,6,2,4,0,3.1}",1770,99,1671,,,
1,0.7,6,0,1,1,1.5}",14256,680,13576,,,
0,0.4,5,2,2,0.67,1.5}",240,198,42,,,
2,0.7,6,0,0,0,2}",10,10,0,,,
4,0.7,6,4,4,0,3.6}",20,20,0,,,
0,0.4,6,0,0,0.5,2}",594,182,412,,,
1,0.7,6,2,2,0.2,2.6}",2150,91,2059,,,
2,0.7,6,2,3,0,2.6}",2640,132,2508,,,
0,0.4,6,3,5,0,2}",48,25,23,,,
0,0.4,6,2,2,0.2,1.5}",1634,328,1306,,,
4,0.7,6,0,3,0.2,3.6}",3160,150,3010,,,
1,0.7,6,4,5,0,2.6}",50,26,24,,,
1,0.7,6,3,5,0,2.6}",200,29,171,,,
3,0.7,6,2,3,0.5,3.1}",4320,217,4103,,,
0,0.4,4,2,3,0,1.5}",2,2,0,,,
2,0.7,6,0,4,0.2,2.6}",17040,850,16190,,,
1,0.7,6,0,5,0,2.6}",1100,57,1043,,,
2,0.7,6,0,0,0.5,2}",990,45,945,,,
1,0.7,6,3,3,0.2,1.5}",836,45,791,,,
4,0.7,5,0,4,0,3.1}",16,16,0,,,
0,0.4,6,2,2,0.2,2}",516,112,404,,,
5,0.7,6,2,2,0,3.6}",10,10,0,,,
0,0.4,5,0,1,0,2}",10,10,0,,,
