"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.2, 'acc_length': 2}",270
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 1.0, 'acc_length': 2}",29250
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.2, 'acc_length': 1.5}",180
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.25, 'acc_length': 2.6}",1395
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.0, 'acc_length': 3.6}",330
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.67, 'acc_length': 1.5}",510
"{'#long_link': 2, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 1.0, 'acc_length': 2}",1690
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.2, 'acc_length': 2}",2580
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.2, 'acc_length': 3.1}",860
"{'#long_link': 5, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 5, 'p/r_ratio': 0.0, 'acc_length': 3.6}",81
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 1.0, 'acc_length': 3.1}",17550
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 4, 'p/r_ratio': 0.0, 'acc_length': 2}",9450
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 1.5, 'acc_length': 3.1}",66
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 1.5, 'acc_length': 2.6}",264
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.5, 'acc_length': 2}",40500
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.25, 'acc_length': 1.5}",1872
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.67, 'acc_length': 2.6}",648
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 4, 'p/r_ratio': 0.0, 'acc_length': 3.6}",945
"{'#long_link': 3, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 4, 'p/r_ratio': 0.0, 'acc_length': 2.6}",1890
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 1.5, 'acc_length': 2}",66
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.33, 'acc_length': 1.5}",10
"{'#long_link': 4, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.67, 'acc_length': 3.1}",51
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 0, 'p/r_ratio': 0.5, 'acc_length': 2}",4950
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.67, 'acc_length': 2}",1944
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 2, 'p/r_ratio': 0.2, 'acc_length': 2}",29700
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 1.0, 'acc_length': 1.5}",6480
"{'#long_link': 0, 'long_link': 0.4, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 3, 'p/r_ratio': 0.25, 'acc_length': 2}",117
"{'#long_link': 1, 'long_link': 0.7, 'par_axes_y': 0, 'par_axes_z': 0, 'pitch_joint': 1, 'p/r_ratio': 0.25, 'acc_length': 2.6}",372
