,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,
pris,y,,pris,y,,pris,y,,pris,y,,,,,,,,,,,,,,,
pris,x,,pris,x,,pris,x,,pris,x,,,,,,,,,,,,,,,
pitch,y,,roll,y,,pris,y,,pris,z,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,,joint ,axe,,joint ,axe,,joint ,axe,,,,,,,,,,,,,,,
roll,z,,roll,z,,roll,z,,roll,z,,,,,,,,,,,,,,,
pris,y,,pris,y,,pris,y,,pris,y,,,,,,,,,,,,,,,
pitch,z,,pitch,z,,pitch,z,,pitch,z,,,,,,,,,,,,,,,
pitch,y,,roll,y,,pris,y,,pris,z,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,,,
roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,,,
pris,y,pris,y,pris,y,pris,y,pris,y,pris,y,pris,y,pris,y,pris,y,pris,y,pris,y,pris,,,
pitch,x,pitch,x,pitch,x,pitch,x,pitch,x,pitch,x,pitch,x,pitch,x,pitch,x,pitch,x,pitch,x,pitch,,,
roll,z,,roll,y,,roll,x,,pitch,y,,pitch,x,,pitch,z,,pris,y,,pris,x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,axe,joint ,,,
roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,z,roll,,,
